,true,pred
1820,ethnicity,ethnicity
1821,gender,gender
1822,ethnicity,ethnicity
1823,ethnicity,ethnicity
1824,religion,religion
1825,not_cyberbullying,not_cyberbullying
1826,age,age
1827,not_cyberbullying,religion
1828,not_cyberbullying,other_cyberbullying
1829,other_cyberbullying,age
1830,gender,gender
1831,gender,gender
1832,ethnicity,ethnicity
1833,age,age
1834,ethnicity,ethnicity
1835,not_cyberbullying,not_cyberbullying
1836,not_cyberbullying,not_cyberbullying
1837,religion,religion
1838,gender,gender
1839,other_cyberbullying,not_cyberbullying
1840,other_cyberbullying,other_cyberbullying
1841,gender,gender
1842,age,age
1843,gender,gender
1844,religion,religion
1845,religion,religion
1846,age,age
1847,age,age
1848,religion,religion
1849,ethnicity,ethnicity
1850,religion,religion
1851,ethnicity,ethnicity
1852,ethnicity,ethnicity
1853,other_cyberbullying,other_cyberbullying
1854,ethnicity,ethnicity
1855,not_cyberbullying,not_cyberbullying
1856,age,age
1857,religion,religion
1858,not_cyberbullying,gender
1859,ethnicity,ethnicity
1860,other_cyberbullying,other_cyberbullying
1861,religion,religion
1862,gender,gender
1863,religion,religion
1864,religion,religion
1865,ethnicity,ethnicity
1866,age,age
1867,gender,gender
1868,ethnicity,ethnicity
1869,age,age
1870,not_cyberbullying,not_cyberbullying
1871,age,age
1872,religion,religion
1873,age,age
1874,religion,religion
1875,not_cyberbullying,not_cyberbullying
1876,religion,religion
1877,age,age
1878,not_cyberbullying,gender
1879,other_cyberbullying,not_cyberbullying
1880,religion,religion
1881,other_cyberbullying,gender
1882,not_cyberbullying,not_cyberbullying
1883,not_cyberbullying,not_cyberbullying
1884,religion,religion
1885,ethnicity,ethnicity
1886,ethnicity,ethnicity
1887,other_cyberbullying,other_cyberbullying
1888,religion,religion
1889,gender,gender
1890,ethnicity,ethnicity
1891,gender,gender
1892,gender,gender
1893,gender,gender
1894,age,age
1895,religion,religion
1896,other_cyberbullying,not_cyberbullying
1897,religion,religion
1898,not_cyberbullying,not_cyberbullying
1899,religion,religion
1900,gender,gender
1901,ethnicity,ethnicity
1902,age,age
1903,ethnicity,ethnicity
1904,other_cyberbullying,not_cyberbullying
1905,not_cyberbullying,not_cyberbullying
1906,age,age
1907,not_cyberbullying,not_cyberbullying
1908,religion,religion
1909,gender,gender
1910,other_cyberbullying,other_cyberbullying
1911,not_cyberbullying,not_cyberbullying
1912,other_cyberbullying,not_cyberbullying
1913,not_cyberbullying,not_cyberbullying
1914,ethnicity,ethnicity
1915,age,age
1916,religion,religion
1917,religion,religion
1918,age,age
1919,gender,not_cyberbullying
1920,not_cyberbullying,not_cyberbullying
1921,age,age
1922,gender,gender
1923,not_cyberbullying,not_cyberbullying
1924,ethnicity,ethnicity
1925,age,age
1926,other_cyberbullying,other_cyberbullying
1927,not_cyberbullying,not_cyberbullying
1928,religion,not_cyberbullying
1929,ethnicity,ethnicity
1930,not_cyberbullying,not_cyberbullying
1931,ethnicity,ethnicity
1932,age,age
1933,ethnicity,ethnicity
1934,not_cyberbullying,not_cyberbullying
1935,other_cyberbullying,other_cyberbullying
1936,age,age
1937,gender,gender
1938,gender,gender
1939,ethnicity,ethnicity
1940,age,age
1941,not_cyberbullying,other_cyberbullying
1942,age,age
1943,age,age
1944,not_cyberbullying,not_cyberbullying
1945,gender,gender
1946,other_cyberbullying,other_cyberbullying
1947,ethnicity,ethnicity
1948,ethnicity,ethnicity
1949,not_cyberbullying,not_cyberbullying
1950,age,age
1951,gender,not_cyberbullying
1952,ethnicity,ethnicity
1953,ethnicity,ethnicity
1954,ethnicity,ethnicity
1955,gender,gender
1956,gender,gender
1957,ethnicity,ethnicity
1958,not_cyberbullying,not_cyberbullying
1959,religion,religion
1960,not_cyberbullying,not_cyberbullying
1961,religion,religion
1962,age,age
1963,religion,religion
1964,gender,gender
1965,religion,religion
1966,other_cyberbullying,other_cyberbullying
1967,ethnicity,ethnicity
1968,not_cyberbullying,not_cyberbullying
1969,gender,gender
1970,ethnicity,ethnicity
1971,ethnicity,ethnicity
1972,age,age
1973,ethnicity,ethnicity
1974,age,age
1975,other_cyberbullying,other_cyberbullying
1976,age,age
1977,not_cyberbullying,religion
1978,religion,religion
1979,not_cyberbullying,not_cyberbullying
1980,age,age
1981,religion,religion
1982,religion,religion
1983,age,age
1984,not_cyberbullying,other_cyberbullying
1985,other_cyberbullying,other_cyberbullying
1986,ethnicity,ethnicity
1987,age,age
1988,age,age
1989,age,age
1990,other_cyberbullying,other_cyberbullying
1991,religion,religion
1992,religion,religion
1993,gender,gender
1994,gender,gender
1995,not_cyberbullying,not_cyberbullying
1996,not_cyberbullying,not_cyberbullying
1997,not_cyberbullying,not_cyberbullying
1998,age,age
1999,religion,religion
2000,ethnicity,ethnicity
2001,gender,gender
2002,religion,religion
2003,ethnicity,ethnicity
2004,ethnicity,ethnicity
2005,religion,religion
2006,religion,religion
2007,religion,religion
2008,gender,gender
2009,religion,religion
2010,religion,religion
2011,ethnicity,ethnicity
2012,religion,religion
2013,other_cyberbullying,other_cyberbullying
2014,not_cyberbullying,not_cyberbullying
2015,other_cyberbullying,other_cyberbullying
2016,not_cyberbullying,not_cyberbullying
2017,gender,gender
2018,age,age
2019,other_cyberbullying,ethnicity
2020,ethnicity,ethnicity
2021,ethnicity,ethnicity
2022,age,age
2023,other_cyberbullying,other_cyberbullying
2024,age,age
2025,ethnicity,ethnicity
2026,other_cyberbullying,not_cyberbullying
2027,religion,religion
2028,gender,not_cyberbullying
2029,not_cyberbullying,gender
2030,gender,gender
2031,other_cyberbullying,gender
2032,age,age
2033,gender,gender
2034,religion,religion
2035,religion,religion
2036,age,age
2037,ethnicity,ethnicity
2038,ethnicity,ethnicity
2039,ethnicity,ethnicity
2040,age,age
2041,ethnicity,ethnicity
2042,not_cyberbullying,other_cyberbullying
2043,not_cyberbullying,not_cyberbullying
2044,religion,religion
2045,age,age
2046,other_cyberbullying,other_cyberbullying
2047,age,age
2048,other_cyberbullying,not_cyberbullying
2049,religion,religion
2050,religion,religion
2051,religion,religion
2052,ethnicity,ethnicity
2053,age,age
2054,gender,gender
2055,other_cyberbullying,not_cyberbullying
2056,age,age
2057,ethnicity,ethnicity
2058,religion,religion
2059,not_cyberbullying,not_cyberbullying
2060,other_cyberbullying,other_cyberbullying
2061,age,age
2062,age,age
2063,age,age
2064,age,age
2065,gender,gender
2066,other_cyberbullying,other_cyberbullying
2067,not_cyberbullying,not_cyberbullying
2068,gender,gender
2069,gender,gender
2070,gender,gender
2071,gender,gender
2072,religion,religion
2073,gender,gender
2074,gender,gender
2075,religion,religion
2076,not_cyberbullying,not_cyberbullying
2077,age,age
2078,ethnicity,ethnicity
2079,ethnicity,ethnicity
2080,age,age
2081,religion,religion
2082,religion,religion
2083,ethnicity,ethnicity
2084,gender,not_cyberbullying
2085,other_cyberbullying,other_cyberbullying
2086,age,age
2087,gender,gender
2088,religion,religion
2089,gender,gender
2090,other_cyberbullying,not_cyberbullying
2091,not_cyberbullying,not_cyberbullying
2092,other_cyberbullying,other_cyberbullying
2093,ethnicity,ethnicity
2094,age,age
2095,not_cyberbullying,age
2096,religion,religion
2097,age,age
2098,ethnicity,ethnicity
2099,not_cyberbullying,not_cyberbullying
2100,age,age
2101,other_cyberbullying,other_cyberbullying
2102,religion,religion
2103,not_cyberbullying,religion
2104,age,age
2105,ethnicity,ethnicity
2106,age,age
2107,religion,religion
2108,other_cyberbullying,not_cyberbullying
2109,religion,religion
2110,not_cyberbullying,other_cyberbullying
2111,other_cyberbullying,other_cyberbullying
2112,ethnicity,ethnicity
2113,other_cyberbullying,other_cyberbullying
2114,age,age
2115,not_cyberbullying,ethnicity
2116,age,age
2117,religion,religion
2118,religion,religion
2119,gender,gender
2120,religion,religion
2121,age,age
2122,gender,gender
2123,ethnicity,ethnicity
2124,gender,gender
2125,religion,religion
2126,gender,gender
2127,ethnicity,ethnicity
2128,ethnicity,ethnicity
2129,other_cyberbullying,other_cyberbullying
2130,gender,gender
2131,religion,religion
2132,age,age
2133,other_cyberbullying,other_cyberbullying
2134,age,age
2135,other_cyberbullying,not_cyberbullying
2136,age,age
2137,age,age
2138,religion,religion
2139,age,age
2140,other_cyberbullying,other_cyberbullying
2141,other_cyberbullying,other_cyberbullying
2142,other_cyberbullying,other_cyberbullying
2143,ethnicity,ethnicity
2144,gender,gender
2145,age,age
2146,not_cyberbullying,not_cyberbullying
2147,religion,religion
2148,ethnicity,ethnicity
2149,gender,other_cyberbullying
2150,other_cyberbullying,other_cyberbullying
2151,gender,gender
2152,age,age
2153,other_cyberbullying,other_cyberbullying
2154,gender,gender
2155,other_cyberbullying,other_cyberbullying
2156,not_cyberbullying,not_cyberbullying
2157,religion,religion
2158,not_cyberbullying,not_cyberbullying
2159,not_cyberbullying,other_cyberbullying
2160,religion,religion
2161,not_cyberbullying,not_cyberbullying
2162,not_cyberbullying,not_cyberbullying
2163,age,age
2164,age,age
2165,gender,gender
2166,other_cyberbullying,other_cyberbullying
2167,age,age
2168,age,age
2169,ethnicity,ethnicity
2170,not_cyberbullying,other_cyberbullying
2171,other_cyberbullying,other_cyberbullying
2172,not_cyberbullying,not_cyberbullying
2173,religion,religion
2174,religion,religion
2175,age,age
2176,not_cyberbullying,not_cyberbullying
2177,religion,religion
2178,age,age
2179,age,age
2180,age,age
2181,not_cyberbullying,not_cyberbullying
2182,ethnicity,ethnicity
2183,ethnicity,ethnicity
2184,age,age
2185,ethnicity,ethnicity
2186,not_cyberbullying,religion
2187,ethnicity,ethnicity
2188,religion,religion
2189,religion,religion
2190,ethnicity,ethnicity
2191,age,age
2192,ethnicity,ethnicity
2193,age,age
2194,ethnicity,ethnicity
2195,other_cyberbullying,other_cyberbullying
2196,religion,religion
2197,ethnicity,ethnicity
2198,gender,gender
2199,age,age
2200,religion,religion
2201,ethnicity,ethnicity
2202,ethnicity,ethnicity
2203,age,age
2204,not_cyberbullying,not_cyberbullying
2205,age,age
2206,age,age
2207,other_cyberbullying,other_cyberbullying
2208,not_cyberbullying,not_cyberbullying
2209,gender,gender
2210,other_cyberbullying,not_cyberbullying
2211,not_cyberbullying,not_cyberbullying
2212,not_cyberbullying,not_cyberbullying
2213,religion,religion
2214,gender,gender
2215,not_cyberbullying,not_cyberbullying
2216,gender,gender
2217,gender,other_cyberbullying
2218,not_cyberbullying,not_cyberbullying
2219,not_cyberbullying,gender
2220,ethnicity,ethnicity
2221,religion,religion
2222,religion,religion
2223,ethnicity,ethnicity
2224,gender,gender
2225,other_cyberbullying,not_cyberbullying
2226,gender,gender
2227,religion,religion
2228,ethnicity,ethnicity
2229,ethnicity,ethnicity
2230,age,age
2231,not_cyberbullying,not_cyberbullying
2232,gender,gender
2233,ethnicity,ethnicity
2234,ethnicity,ethnicity
2235,gender,gender
2236,religion,religion
2237,religion,religion
2238,not_cyberbullying,not_cyberbullying
2239,religion,religion
2240,not_cyberbullying,not_cyberbullying
2241,ethnicity,ethnicity
2242,age,age
2243,other_cyberbullying,other_cyberbullying
2244,ethnicity,ethnicity
2245,religion,religion
2246,not_cyberbullying,other_cyberbullying
2247,not_cyberbullying,not_cyberbullying
2248,gender,not_cyberbullying
2249,religion,religion
2250,religion,religion
2251,ethnicity,ethnicity
2252,other_cyberbullying,not_cyberbullying
2253,ethnicity,ethnicity
2254,religion,religion
2255,gender,gender
2256,other_cyberbullying,other_cyberbullying
2257,age,age
2258,age,age
2259,not_cyberbullying,other_cyberbullying
2260,religion,religion
2261,age,age
2262,gender,gender
2263,age,age
2264,ethnicity,ethnicity
2265,religion,religion
2266,ethnicity,ethnicity
2267,gender,gender
2268,not_cyberbullying,other_cyberbullying
2269,religion,religion
2270,age,age
2271,other_cyberbullying,other_cyberbullying
2272,not_cyberbullying,other_cyberbullying
2273,gender,gender
2274,religion,religion
2275,religion,religion
2276,religion,religion
2277,other_cyberbullying,other_cyberbullying
2278,other_cyberbullying,other_cyberbullying
2279,ethnicity,ethnicity
2280,not_cyberbullying,not_cyberbullying
2281,ethnicity,ethnicity
2282,religion,religion
2283,age,age
2284,not_cyberbullying,not_cyberbullying
2285,age,age
2286,other_cyberbullying,other_cyberbullying
2287,ethnicity,ethnicity
2288,age,age
2289,gender,gender
2290,religion,religion
2291,other_cyberbullying,ethnicity
2292,other_cyberbullying,age
2293,age,age
2294,gender,gender
2295,religion,religion
2296,not_cyberbullying,other_cyberbullying
2297,gender,gender
2298,gender,gender
2299,gender,other_cyberbullying
2300,age,age
2301,ethnicity,ethnicity
2302,age,age
2303,other_cyberbullying,other_cyberbullying
2304,gender,gender
2305,other_cyberbullying,other_cyberbullying
2306,religion,religion
2307,ethnicity,ethnicity
2308,not_cyberbullying,not_cyberbullying
2309,ethnicity,ethnicity
2310,other_cyberbullying,not_cyberbullying
2311,religion,religion
2312,other_cyberbullying,not_cyberbullying
2313,gender,other_cyberbullying
2314,gender,gender
2315,religion,religion
2316,age,age
2317,gender,gender
2318,gender,gender
2319,religion,religion
2320,religion,religion
2321,gender,gender
2322,other_cyberbullying,not_cyberbullying
2323,ethnicity,ethnicity
2324,age,age
2325,age,age
2326,ethnicity,ethnicity
2327,religion,religion
2328,other_cyberbullying,other_cyberbullying
2329,not_cyberbullying,not_cyberbullying
2330,other_cyberbullying,other_cyberbullying
2331,religion,religion
2332,not_cyberbullying,not_cyberbullying
2333,not_cyberbullying,not_cyberbullying
2334,gender,gender
2335,religion,religion
2336,not_cyberbullying,other_cyberbullying
2337,other_cyberbullying,not_cyberbullying
2338,other_cyberbullying,not_cyberbullying
2339,ethnicity,ethnicity
2340,not_cyberbullying,not_cyberbullying
2341,ethnicity,ethnicity
2342,age,age
2343,age,age
2344,not_cyberbullying,not_cyberbullying
2345,ethnicity,ethnicity
2346,gender,not_cyberbullying
2347,other_cyberbullying,other_cyberbullying
2348,gender,gender
2349,gender,gender
2350,age,age
2351,religion,religion
2352,religion,religion
2353,religion,religion
2354,gender,gender
2355,age,not_cyberbullying
2356,religion,religion
2357,not_cyberbullying,not_cyberbullying
2358,religion,religion
2359,other_cyberbullying,not_cyberbullying
2360,age,age
2361,religion,religion
2362,religion,religion
2363,other_cyberbullying,other_cyberbullying
2364,gender,gender
2365,ethnicity,ethnicity
2366,age,age
2367,gender,gender
2368,religion,religion
2369,religion,religion
2370,other_cyberbullying,other_cyberbullying
2371,age,age
2372,ethnicity,ethnicity
2373,ethnicity,ethnicity
2374,ethnicity,ethnicity
2375,not_cyberbullying,not_cyberbullying
2376,not_cyberbullying,other_cyberbullying
2377,religion,religion
2378,not_cyberbullying,not_cyberbullying
2379,gender,gender
2380,age,age
2381,gender,gender
2382,age,age
2383,ethnicity,ethnicity
2384,ethnicity,ethnicity
2385,not_cyberbullying,not_cyberbullying
2386,age,age
2387,age,age
2388,gender,gender
2389,age,age
2390,not_cyberbullying,not_cyberbullying
2391,religion,religion
2392,religion,religion
2393,religion,religion
2394,religion,religion
2395,gender,gender
2396,age,age
2397,religion,religion
2398,religion,religion
2399,other_cyberbullying,other_cyberbullying
2400,not_cyberbullying,not_cyberbullying
2401,religion,religion
2402,religion,religion
2403,not_cyberbullying,not_cyberbullying
2404,gender,gender
2405,other_cyberbullying,not_cyberbullying
2406,other_cyberbullying,not_cyberbullying
2407,gender,gender
2408,religion,religion
2409,ethnicity,ethnicity
2410,religion,religion
2411,other_cyberbullying,age
2412,age,age
2413,religion,religion
2414,age,age
2415,gender,gender
2416,religion,religion
2417,ethnicity,ethnicity
2418,age,age
2419,gender,gender
2420,ethnicity,ethnicity
2421,religion,religion
2422,other_cyberbullying,not_cyberbullying
2423,ethnicity,ethnicity
2424,gender,gender
2425,not_cyberbullying,not_cyberbullying
2426,gender,not_cyberbullying
2427,gender,gender
2428,ethnicity,ethnicity
2429,age,age
2430,other_cyberbullying,other_cyberbullying
2431,age,age
2432,ethnicity,ethnicity
2433,religion,religion
2434,religion,religion
2435,religion,religion
2436,age,age
2437,age,age
2438,ethnicity,ethnicity
2439,religion,religion
2440,ethnicity,ethnicity
2441,ethnicity,ethnicity
2442,not_cyberbullying,not_cyberbullying
2443,ethnicity,ethnicity
2444,ethnicity,ethnicity
2445,not_cyberbullying,not_cyberbullying
2446,gender,other_cyberbullying
2447,not_cyberbullying,not_cyberbullying
2448,not_cyberbullying,not_cyberbullying
2449,gender,gender
2450,not_cyberbullying,other_cyberbullying
2451,age,age
2452,religion,religion
2453,other_cyberbullying,other_cyberbullying
2454,other_cyberbullying,other_cyberbullying
2455,ethnicity,ethnicity
2456,other_cyberbullying,other_cyberbullying
2457,age,age
2458,religion,religion
2459,ethnicity,ethnicity
2460,age,age
2461,not_cyberbullying,not_cyberbullying
2462,gender,gender
2463,religion,religion
2464,religion,religion
2465,religion,religion
2466,age,age
2467,religion,religion
2468,age,age
2469,age,age
2470,age,age
2471,age,not_cyberbullying
2472,gender,gender
2473,other_cyberbullying,other_cyberbullying
2474,gender,gender
2475,other_cyberbullying,other_cyberbullying
2476,age,age
2477,age,age
2478,age,age
2479,other_cyberbullying,other_cyberbullying
2480,gender,gender
2481,age,age
2482,religion,religion
2483,gender,other_cyberbullying
2484,religion,religion
2485,gender,gender
2486,other_cyberbullying,other_cyberbullying
2487,ethnicity,ethnicity
2488,religion,religion
2489,age,age
2490,age,age
2491,age,age
2492,ethnicity,ethnicity
2493,age,age
2494,not_cyberbullying,other_cyberbullying
2495,ethnicity,ethnicity
2496,not_cyberbullying,gender
2497,age,age
2498,ethnicity,ethnicity
2499,gender,gender
2500,ethnicity,ethnicity
2501,religion,religion
2502,age,age
2503,religion,religion
2504,religion,religion
2505,gender,gender
2506,not_cyberbullying,other_cyberbullying
2507,other_cyberbullying,gender
2508,not_cyberbullying,not_cyberbullying
2509,ethnicity,ethnicity
2510,religion,religion
2511,gender,gender
2512,ethnicity,ethnicity
2513,religion,religion
2514,not_cyberbullying,other_cyberbullying
2515,other_cyberbullying,other_cyberbullying
2516,age,age
2517,ethnicity,ethnicity
2518,religion,religion
2519,not_cyberbullying,not_cyberbullying
2520,religion,religion
2521,ethnicity,ethnicity
2522,ethnicity,ethnicity
2523,ethnicity,ethnicity
2524,not_cyberbullying,other_cyberbullying
2525,gender,gender
2526,not_cyberbullying,not_cyberbullying
2527,gender,gender
2528,ethnicity,ethnicity
2529,not_cyberbullying,other_cyberbullying
2530,age,age
2531,ethnicity,ethnicity
2532,ethnicity,ethnicity
2533,ethnicity,ethnicity
2534,ethnicity,age
2535,age,age
2536,not_cyberbullying,not_cyberbullying
2537,religion,religion
2538,religion,religion
2539,ethnicity,ethnicity
2540,gender,gender
2541,other_cyberbullying,other_cyberbullying
2542,ethnicity,ethnicity
2543,age,age
2544,ethnicity,ethnicity
2545,religion,religion
2546,religion,religion
2547,ethnicity,ethnicity
2548,age,age
2549,not_cyberbullying,other_cyberbullying
2550,gender,gender
2551,age,age
2552,not_cyberbullying,gender
2553,not_cyberbullying,not_cyberbullying
2554,religion,not_cyberbullying
2555,gender,not_cyberbullying
2556,not_cyberbullying,not_cyberbullying
2557,not_cyberbullying,other_cyberbullying
2558,not_cyberbullying,other_cyberbullying
2559,religion,religion
2560,not_cyberbullying,not_cyberbullying
2561,gender,gender
2562,gender,gender
2563,other_cyberbullying,other_cyberbullying
2564,not_cyberbullying,other_cyberbullying
2565,religion,not_cyberbullying
2566,religion,religion
2567,gender,not_cyberbullying
2568,age,not_cyberbullying
2569,religion,religion
2570,not_cyberbullying,gender
2571,not_cyberbullying,not_cyberbullying
2572,not_cyberbullying,not_cyberbullying
2573,religion,religion
2574,not_cyberbullying,not_cyberbullying
2575,not_cyberbullying,religion
2576,gender,gender
2577,age,age
2578,ethnicity,ethnicity
2579,other_cyberbullying,other_cyberbullying
2580,ethnicity,ethnicity
2581,age,age
2582,gender,gender
2583,other_cyberbullying,not_cyberbullying
2584,age,age
2585,religion,religion
2586,other_cyberbullying,other_cyberbullying
2587,ethnicity,ethnicity
2588,age,age
2589,age,age
2590,ethnicity,ethnicity
2591,gender,gender
2592,ethnicity,ethnicity
2593,not_cyberbullying,other_cyberbullying
2594,gender,gender
2595,age,age
2596,religion,religion
2597,religion,religion
2598,ethnicity,ethnicity
2599,gender,gender
2600,ethnicity,ethnicity
2601,ethnicity,ethnicity
2602,religion,religion
2603,other_cyberbullying,other_cyberbullying
2604,religion,religion
2605,religion,religion
2606,ethnicity,ethnicity
2607,ethnicity,ethnicity
2608,religion,religion
2609,ethnicity,ethnicity
2610,not_cyberbullying,not_cyberbullying
2611,other_cyberbullying,not_cyberbullying
2612,ethnicity,ethnicity
2613,religion,not_cyberbullying
2614,other_cyberbullying,other_cyberbullying
2615,age,age
2616,other_cyberbullying,other_cyberbullying
2617,age,age
2618,religion,religion
2619,ethnicity,ethnicity
2620,religion,religion
2621,ethnicity,ethnicity
2622,religion,religion
2623,ethnicity,ethnicity
2624,other_cyberbullying,other_cyberbullying
2625,gender,gender
2626,gender,gender
2627,gender,gender
2628,religion,religion
2629,ethnicity,ethnicity
2630,religion,religion
2631,ethnicity,ethnicity
2632,not_cyberbullying,not_cyberbullying
2633,ethnicity,ethnicity
2634,ethnicity,ethnicity
2635,age,age
2636,other_cyberbullying,not_cyberbullying
2637,age,age
2638,religion,religion
2639,religion,religion
2640,gender,gender
2641,religion,religion
2642,age,age
2643,age,age
2644,not_cyberbullying,not_cyberbullying
2645,religion,religion
2646,age,age
2647,gender,gender
2648,religion,religion
2649,other_cyberbullying,other_cyberbullying
2650,not_cyberbullying,not_cyberbullying
2651,other_cyberbullying,other_cyberbullying
2652,not_cyberbullying,not_cyberbullying
2653,other_cyberbullying,not_cyberbullying
2654,age,age
2655,age,age
2656,gender,gender
2657,not_cyberbullying,not_cyberbullying
2658,not_cyberbullying,not_cyberbullying
2659,not_cyberbullying,not_cyberbullying
2660,gender,not_cyberbullying
2661,other_cyberbullying,other_cyberbullying
2662,not_cyberbullying,not_cyberbullying
2663,gender,gender
2664,gender,gender
2665,other_cyberbullying,other_cyberbullying
2666,gender,gender
2667,gender,not_cyberbullying
2668,age,age
2669,religion,religion
2670,gender,not_cyberbullying
2671,other_cyberbullying,other_cyberbullying
2672,gender,gender
2673,ethnicity,ethnicity
2674,gender,gender
2675,other_cyberbullying,not_cyberbullying
2676,ethnicity,ethnicity
2677,religion,religion
2678,ethnicity,ethnicity
2679,gender,other_cyberbullying
2680,religion,religion
2681,not_cyberbullying,not_cyberbullying
2682,ethnicity,ethnicity
2683,age,age
2684,ethnicity,ethnicity
2685,age,age
2686,other_cyberbullying,gender
2687,age,age
2688,ethnicity,ethnicity
2689,ethnicity,ethnicity
2690,other_cyberbullying,other_cyberbullying
2691,age,age
2692,age,age
2693,gender,gender
2694,ethnicity,ethnicity
2695,religion,religion
2696,other_cyberbullying,other_cyberbullying
2697,gender,gender
2698,gender,gender
2699,age,age
2700,gender,gender
2701,not_cyberbullying,gender
2702,gender,gender
2703,age,age
2704,ethnicity,ethnicity
2705,religion,religion
2706,religion,religion
2707,ethnicity,ethnicity
2708,age,age
2709,gender,gender
2710,religion,religion
2711,gender,not_cyberbullying
2712,gender,gender
2713,religion,religion
2714,other_cyberbullying,other_cyberbullying
2715,ethnicity,ethnicity
2716,gender,gender
2717,age,age
2718,gender,gender
2719,ethnicity,ethnicity
2720,religion,religion
2721,religion,religion
2722,other_cyberbullying,religion
2723,ethnicity,ethnicity
2724,other_cyberbullying,not_cyberbullying
2725,age,age
2726,other_cyberbullying,not_cyberbullying
2727,religion,religion
2728,gender,gender
2729,ethnicity,ethnicity
2730,gender,gender
2731,not_cyberbullying,not_cyberbullying
2732,other_cyberbullying,other_cyberbullying
2733,gender,gender
2734,ethnicity,ethnicity
2735,age,age
2736,age,age
2737,religion,religion
2738,ethnicity,ethnicity
2739,other_cyberbullying,other_cyberbullying
2740,age,age
2741,gender,other_cyberbullying
2742,gender,gender
2743,age,age
2744,age,age
2745,age,age
2746,ethnicity,ethnicity
2747,not_cyberbullying,not_cyberbullying
2748,ethnicity,ethnicity
2749,other_cyberbullying,not_cyberbullying
2750,ethnicity,ethnicity
2751,age,age
2752,gender,gender
2753,ethnicity,ethnicity
2754,religion,religion
2755,ethnicity,ethnicity
2756,religion,religion
2757,religion,religion
2758,religion,religion
2759,religion,religion
2760,age,age
2761,religion,religion
2762,gender,gender
2763,age,age
2764,gender,gender
2765,gender,gender
2766,ethnicity,ethnicity
2767,religion,religion
2768,not_cyberbullying,not_cyberbullying
2769,age,age
2770,age,age
2771,ethnicity,ethnicity
2772,age,age
2773,gender,not_cyberbullying
2774,religion,religion
2775,ethnicity,ethnicity
2776,ethnicity,ethnicity
2777,ethnicity,ethnicity
2778,gender,gender
2779,other_cyberbullying,age
2780,ethnicity,ethnicity
2781,age,age
2782,other_cyberbullying,other_cyberbullying
2783,gender,gender
2784,not_cyberbullying,religion
2785,not_cyberbullying,other_cyberbullying
2786,religion,religion
2787,not_cyberbullying,other_cyberbullying
2788,gender,gender
2789,not_cyberbullying,not_cyberbullying
2790,gender,gender
2791,gender,gender
2792,other_cyberbullying,other_cyberbullying
2793,not_cyberbullying,not_cyberbullying
2794,ethnicity,ethnicity
2795,gender,gender
2796,ethnicity,ethnicity
2797,gender,not_cyberbullying
2798,gender,gender
2799,religion,religion
2800,age,age
2801,age,age
2802,religion,religion
2803,gender,gender
2804,age,age
2805,ethnicity,ethnicity
2806,religion,religion
2807,other_cyberbullying,other_cyberbullying
2808,other_cyberbullying,other_cyberbullying
2809,age,age
2810,religion,religion
2811,gender,gender
2812,ethnicity,ethnicity
2813,other_cyberbullying,other_cyberbullying
2814,ethnicity,ethnicity
2815,gender,gender
2816,not_cyberbullying,not_cyberbullying
2817,not_cyberbullying,not_cyberbullying
2818,ethnicity,ethnicity
2819,not_cyberbullying,other_cyberbullying
2820,ethnicity,ethnicity
2821,gender,gender
2822,not_cyberbullying,not_cyberbullying
2823,gender,gender
2824,age,age
2825,other_cyberbullying,other_cyberbullying
2826,age,age
2827,ethnicity,ethnicity
2828,ethnicity,ethnicity
2829,age,age
2830,not_cyberbullying,not_cyberbullying
2831,not_cyberbullying,other_cyberbullying
2832,religion,religion
2833,gender,gender
2834,not_cyberbullying,not_cyberbullying
2835,not_cyberbullying,gender
2836,ethnicity,ethnicity
2837,other_cyberbullying,other_cyberbullying
2838,religion,religion
2839,not_cyberbullying,gender
2840,age,age
2841,religion,religion
2842,gender,not_cyberbullying
2843,age,age
2844,gender,gender
2845,gender,gender
2846,age,age
2847,not_cyberbullying,ethnicity
2848,gender,gender
2849,age,age
2850,age,age
2851,age,age
2852,age,age
2853,not_cyberbullying,not_cyberbullying
2854,age,age
2855,religion,religion
2856,not_cyberbullying,other_cyberbullying
2857,gender,gender
2858,not_cyberbullying,religion
2859,gender,gender
2860,gender,gender
2861,age,age
2862,not_cyberbullying,religion
2863,gender,gender
2864,age,age
2865,age,age
2866,other_cyberbullying,other_cyberbullying
2867,not_cyberbullying,religion
2868,gender,gender
2869,other_cyberbullying,not_cyberbullying
2870,age,age
2871,gender,gender
2872,religion,other_cyberbullying
2873,ethnicity,ethnicity
2874,religion,religion
2875,gender,gender
2876,ethnicity,ethnicity
2877,other_cyberbullying,other_cyberbullying
2878,not_cyberbullying,not_cyberbullying
2879,age,age
2880,gender,gender
2881,other_cyberbullying,other_cyberbullying
2882,not_cyberbullying,other_cyberbullying
2883,not_cyberbullying,not_cyberbullying
2884,not_cyberbullying,not_cyberbullying
2885,religion,religion
2886,ethnicity,ethnicity
2887,gender,gender
2888,religion,religion
2889,ethnicity,ethnicity
2890,ethnicity,ethnicity
2891,other_cyberbullying,not_cyberbullying
2892,religion,religion
2893,gender,gender
2894,not_cyberbullying,not_cyberbullying
2895,gender,gender
2896,not_cyberbullying,not_cyberbullying
2897,age,age
2898,ethnicity,ethnicity
